ID,FINAL
1018,HG00244
1019,HG00245
1020,HG00246
1021,HG00249
1022,HG00250
1023,HG00251
1024,HG00252
1025,HG00253
1026,HG00254
1027,HG00255
1028,HG00256
1029,HG00257
1030,HG00258
1031,HG00259
1032,HG00260
1033,HG00261
1034,HG00262
1035,HG00263
1036,HG00264
1037,HG00265
1038,HG00266
1039,HG00267
1040,HG00268
1041,HG00269
1042,HG00270
1043,HG00271
1044,HG00272
1045,HG00273
1046,HG00274
1047,HG00275
1048,HG00276
1049,HG00277
1050,HG00278
1051,HG00280
1052,HG00281
1053,HG00282
1054,HG00284
1055,HG00285
1056,HG00288
1057,HG00290
1058,HG00302
1059,HG00303
1060,HG00304
1061,HG00306
1062,HG00308
1063,HG00309
1064,HG00310
1065,HG00311
1066,HG00312
1067,HG00313
1068,HG00315
1069,HG00318
1070,HG00319
1071,HG00320
1072,HG00321
1073,HG00323
1074,HG00324
1075,HG00325
1076,HG00326
1077,HG00327
1078,HG00328
1079,HG00329
1080,HG00330
1081,HG00331
1082,HG00332
1083,HG00334
1084,HG00335
1085,HG00336
1086,HG00337
1087,HG00338
1088,HG00339
1089,HG00341
1090,HG00342
1091,HG00343
1092,HG00344
1093,HG00345
1094,HG00346
1095,HG00349
1096,HG00350
1097,HG00351
1098,HG00353
1099,HG00355
1100,HG00356
1101,HG00357
1102,HG00358
1103,HG00359
1104,HG00360
1105,HG00361
1106,HG00362
1107,HG00364
1108,HG00365
1109,HG00366
1110,HG00367
1111,HG00368
1112,HG00369
1113,HG00371
1114,HG00372
1115,HG00373
1116,HG00375
1117,HG00376
1118,HG00377
1119,HG00378
1120,HG00379
1121,HG00380
1122,HG00381
1123,HG00382
1124,HG00383
1125,HG00384
1126,HG00403
1127,HG00404
1128,HG00406
1129,HG00407
1130,HG00409
1131,HG00410
1132,HG00419
1133,HG00421
1134,HG00422
1135,HG00428
1136,HG00436
1137,HG00437
1138,HG00442
1139,HG00443
1140,HG00445
1141,HG00446
1142,HG00448
1143,HG00449
1144,HG00451
1145,HG00452
1146,HG00457
1147,HG00458
1148,HG00463
1149,HG00464
1150,HG00472
1151,HG00473
1152,HG00475
1153,HG00476
1154,HG00478
1155,HG00479
1156,HG00500
1157,HG00513
1158,HG00524
1159,HG00525
1160,HG00530
1161,HG00531
1162,HG00533
1163,HG00534
1164,HG00536
1165,HG00537
1166,HG00542
1167,HG00543
1168,HG00551
1169,HG00553
1170,HG00554
1171,HG00556
1172,HG00557
1173,HG00559
1174,HG00560
1175,HG00565
1176,HG00566
1177,HG00580
1178,HG00581
1179,HG00583
1180,HG00584
1181,HG00589
1182,HG00590
1183,HG00592
1184,HG00593
1185,HG00595
1186,HG00596
1187,HG00598
1188,HG00599
1189,HG00607
1190,HG00608
1191,HG00610
1192,HG00611
1193,HG00613
1194,HG00614
1195,HG00619
1196,HG00620
1197,HG00622
1198,HG00623
1199,HG00625
1200,HG00626
1201,HG00628
1202,HG00629
1203,HG00631
1204,HG00632
1205,HG00634
1206,HG00637
1207,HG00638
1208,HG00640
1209,HG00641
1210,HG00650
1211,HG00651
1212,HG00653
1213,HG00654
1214,HG00656
1215,HG00657
1216,HG00662
1217,HG00663
1218,HG00671
1219,HG00672
1220,HG00674
1221,HG00675
1222,HG00683
1223,HG00684
1224,HG00689
1225,HG00690
1226,HG00692
1227,HG00693
1228,HG00698
1229,HG00699
1230,HG00701
1231,HG00704
1232,HG00705
1233,HG00707
1234,HG00708
1235,HG00717
1236,HG00728
1237,HG00729
1238,HG00731
1239,HG00732
1240,HG00734
1241,HG00736
1242,HG00737
1243,HG00739
1244,HG00740
1245,HG00742
1246,HG00743
1247,HG00759
1248,HG00766
1249,HG00844
1250,HG00851
1251,HG00864
1252,HG00867
1253,HG00879
1254,HG00881
1255,HG00956
1256,HG00978
1257,HG00982
1258,HG01028
1259,HG01029
1260,HG01031
1261,HG01046
1262,HG01047
1263,HG01048
1264,HG01049
1265,HG01051
1266,HG01052
1267,HG01054
1268,HG01055
1269,HG01058
1270,HG01060
1271,HG01061
1272,HG01063
1273,HG01064
1274,HG01066
1275,HG01067
1276,HG01069
1277,HG01070
1278,HG01072
1279,HG01073
1280,HG01075
1281,HG01077
1282,HG01079
1283,HG01080
1284,HG01082
1285,HG01083
1286,HG01085
1287,HG01086
1288,HG01088
1289,HG01089
1290,HG01092
1291,HG01094
1292,HG01095
1293,HG01097
1294,HG01098
1295,HG01101
1296,HG01102
1297,HG01104
1298,HG01105
1299,HG01107
1300,HG01108
1301,HG01110
1302,HG01111
1303,HG01112
1304,HG01113
1305,HG01119
1306,HG01121
1307,HG01122
1308,HG01124
1309,HG01125
1310,HG01130
1311,HG01131
1312,HG01133
1313,HG01134
1314,HG01136
1315,HG01137
1316,HG01139
1317,HG01140
1318,HG01142
1319,HG01148
1320,HG01149
1321,HG01161
1322,HG01162
1323,HG01164
1324,HG01167
1325,HG01168
1326,HG01170
1327,HG01171
1328,HG01173
1329,HG01174
1330,HG01176
1331,HG01177
1332,HG01182
1333,HG01183
1334,HG01187
